time	V(in)	V(vt1)	V(vt2)	I(D2)
3.483900000046651e-004	4.993972e+000	5.299374e+000	4.800185e+000	1.774150e-015
3.514457142903792e-004	5.007564e+000	5.299374e+000	4.800185e+000	1.774150e-015
3.545014285760934e-004	5.017784e+000	5.299374e+000	4.800185e+000	1.774150e-015
3.575571428618075e-004	5.024632e+000	5.299374e+000	4.800185e+000	1.774150e-015
3.606128571475216e-004	5.028107e+000	5.299374e+000	4.800185e+000	1.774150e-015
3.636685714332358e-004	5.028210e+000	5.299374e+000	4.800185e+000	1.774150e-015
3.667242857189499e-004	5.024940e+000	5.299374e+000	4.800185e+000	1.774150e-015
3.697800000046641e-004	5.018298e+000	5.299374e+000	4.800185e+000	1.774150e-015
3.730657142903782e-004	5.003432e+000	5.299374e+000	4.800185e+000	1.774150e-015
3.763514285760923e-004	4.991524e+000	5.299374e+000	4.800185e+000	1.774150e-015
3.796371428618065e-004	4.982575e+000	5.299374e+000	4.800185e+000	1.774150e-015
3.829228571475206e-004	4.976585e+000	5.299374e+000	4.800185e+000	1.774150e-015
3.862085714332347e-004	4.973553e+000	5.299374e+000	4.800185e+000	1.774150e-015
3.894942857189489e-004	4.973480e+000	5.299374e+000	4.800185e+000	1.774150e-015
3.927800000046630e-004	4.976365e+000	5.299374e+000	4.800185e+000	1.774150e-015
3.962300000046629e-004	4.991109e+000	5.299374e+000	4.800185e+000	1.774150e-015
3.996800000046627e-004	5.003278e+000	5.299374e+000	4.800185e+000	1.774150e-015
4.031300000046625e-004	5.012869e+000	5.299374e+000	4.800185e+000	1.774150e-015
4.065800000046624e-004	5.019884e+000	5.299374e+000	4.800185e+000	1.774150e-015
4.100300000046622e-004	5.024323e+000	5.299374e+000	4.800185e+000	1.774150e-015
4.134800000046621e-004	5.026185e+000	5.299374e+000	4.800185e+000	1.774150e-015
4.169300000046619e-004	5.025470e+000	5.299374e+000	4.800185e+000	1.774150e-015
